component_strategy,appearance_count,avg_combo_sharpe,median_combo_sharpe,unique_combos,pct_of_combos
SupertrendVolume,444,0.0,0.0,1,0.11013215859030838
ParabolicSarFiltered,242,0.015575795990995626,0.0,1,0.11013215859030838
DmiAdx,222,0.0,0.0,1,0.11013215859030838
FiftyTwoWeekHighTrailing,222,0.0,0.0,1,0.11013215859030838
SupertrendCooldown,222,0.0,0.0,1,0.11013215859030838
Donchian,222,-0.0066032075707153255,0.0,1,0.11013215859030838
ParabolicSar,222,-0.0066032075707153255,0.0,1,0.11013215859030838
MACrossover,222,-0.0066032075707153255,0.0,1,0.11013215859030838
TurtleS1,222,0.0,0.0,1,0.11013215859030838
BollingerSqueeze,222,0.0,0.0,1,0.11013215859030838
Ensemble,20,0.18846713149104707,0.16918494706419332,1,0.11013215859030838
Supertrend,20,0.18846713149104707,0.16918494706419332,1,0.11013215859030838
