param,all_median,all_min,all_max,top25_median,top25_min,top25_max,corr_with_sharpe
atr_period,,,,,,,0.0
multiplier,,,,,,,0.0
af_start,,,,,,,0.0
af_step,,,,,,,0.0
af_max,,,,,,,0.0
period,,,,,,,0.0
entry_pct,,,,,,,0.0
exit_pct,,,,,,,0.0
range_multiplier,,,,,,,0.0
atr_stop_mult,,,,,,,0.0
fast,620.0,225,925,620.0,225,925,-0.0012039074957138267
slow,96.0,55,155,96.0,55,155,0.0029319406921431285
lookback,,,,,,,0.0
sma_period,,,,,,,0.0
ema_period,,,,,,,0.0
entry_lookback,,,,,,,0.0
exit_lookback,,,,,,,0.0
box_confirmation_bars,,,,,,,0.0
std_mult,,,,,,,0.0
squeeze_threshold,,,,,,,0.0
di_period,,,,,,,0.0
adx_period,,,,,,,0.0
adx_threshold,,,,,,,0.0
